no_year,BedroomAbvGr,BsmtFullBath,SaleCondition,KitchenAbvGr,SalePrice
17,3,1,Normal,1,208500
44,3,0,Normal,1,181500
19,3,1,Normal,1,223500
105,3,1,Abnorml,1,140000
20,4,1,Normal,1,250000
27,1,1,Normal,1,143000
16,3,1,Normal,1,307000
47,3,1,Normal,1,200000
89,2,0,Abnorml,2,129900
81,2,1,Normal,2,118000
55,3,1,Normal,1,129500
58,2,1,Normal,1,144000
60,2,1,Normal,1,157000
91,2,0,Normal,1,132000
50,2,1,Normal,1,149000
53,2,0,Normal,2,90000
16,3,1,Normal,1,159000
62,3,0,Abnorml,1,139000
90,3,0,Normal,1,139400
18,3,0,Normal,1,230000
44,3,1,Normal,1,129900
52,3,1,Normal,1,154000
13,3,0,Normal,1,256300
69,3,0,Normal,1,134800
13,3,1,Normal,1,306000
63,2,1,Normal,1,207500
93,1,0,Normal,1,68500
100,3,0,Normal,1,40000
54,3,0,Normal,1,149350
13,3,0,Normal,1,179900
61,4,0,Normal,1,165500
15,2,1,Normal,1,277500
16,4,0,Normal,1,309000
26,3,0,Normal,1,145000
66,3,0,Normal,1,153000
67,3,1,Abnorml,1,109000
55,3,0,Abnorml,1,160000
61,2,0,Normal,1,170000
37,2,1,Normal,1,144000
45,3,1,Normal,1,130250
61,3,1,Normal,1,141000
15,2,1,Normal,1,319900
17,1,1,Abnorml,1,239686
14,3,0,Normal,1,249700
54,3,1,Normal,1,127000
23,3,0,Normal,1,177000
86,3,0,Normal,1,114500
57,2,1,Normal,1,110000
39,0,2,Normal,1,385000
65,3,0,Normal,1,130000
56,3,0,Normal,1,180500
21,3,1,Abnorml,1,172500
16,3,0,Normal,1,196500
48,2,0,Normal,1,124900
100,3,0,Normal,1,101000
14,2,0,Normal,1,202500
99,3,0,Normal,1,140000
23,3,1,Normal,1,219500
16,4,0,Normal,1,317000
50,3,1,Normal,1,180000
17,3,1,Normal,1,226000
75,2,0,Normal,1,80000
67,3,0,Normal,1,225000
47,3,1,Normal,1,244000
38,2,1,Normal,1,129500
22,3,0,Normal,1,185000
66,3,1,Normal,1,144900
105,3,0,Normal,2,107400
47,2,1,Normal,1,91000
64,2,0,Normal,1,135750
72,2,1,Normal,1,127000
52,4,0,Normal,2,136500
110,2,0,Normal,1,110000
52,4,0,Normal,1,193500
22,2,1,Normal,1,153500
13,3,0,Normal,1,245000
60,3,0,Normal,1,126500
25,3,0,Normal,1,168500
29,4,0,Normal,1,260000
15,3,0,Normal,1,174000
105,2,0,Abnorml,1,85000
26,3,1,Normal,1,123600
70,2,0,Normal,1,109900
59,2,0,Abnorml,1,98600
99,2,1,Normal,1,163500
110,4,0,Normal,2,133900
23,3,1,Normal,1,204750
27,3,0,Normal,1,185000
21,3,0,Normal,1,214000
55,3,1,Normal,1,94750
100,2,0,Abnorml,1,83000
61,3,1,Normal,1,128950
43,3,1,Normal,1,205000
35,3,0,Normal,1,178000
11,3,0,Normal,1,198900
89,4,0,Normal,1,169500
17,3,0,Normal,1,250000
135,2,0,Normal,1,100000
101,3,0,Normal,1,115000
43,3,0,Normal,1,190000
66,4,0,Normal,1,136900
20,3,0,Normal,1,180000
67,3,1,Abnorml,1,217000
75,3,1,Normal,1,259500
21,2,0,Normal,1,176000
58,3,0,Normal,1,139000
30,5,1,Normal,1,320000
51,1,1,Normal,1,180000
81,3,0,Normal,1,100000
62,3,0,Normal,1,136000
27,2,0,Normal,1,153900
41,3,0,Normal,1,181000
85,2,1,Normal,1,84500
44,2,0,Normal,1,128000
90,3,0,Normal,1,87000
54,3,0,Normal,1,155000
62,3,0,Abnorml,1,150000
54,4,0,Normal,1,226000
20,3,1,Normal,1,244000
61,3,1,Normal,1,150750
19,2,1,Normal,1,220000
52,3,0,Normal,1,180000
50,3,0,Normal,1,174000
53,3,0,Normal,1,143000
21,3,0,Normal,1,230000
23,3,1,Normal,1,231500
49,3,0,Normal,1,115000
15,3,1,Normal,1,260000
68,4,0,Normal,1,166000
21,3,1,Normal,1,204000
57,6,1,Abnorml,2,125000
16,3,0,Normal,1,130000
89,2,1,Normal,1,105000
19,3,0,Normal,1,222500
16,3,1,Normal,1,141000
84,3,0,Normal,1,115000
45,3,0,Normal,1,122000
49,4,0,Normal,1,190000
60,1,1,Normal,1,235000
96,2,0,Normal,1,79000
70,2,0,Normal,1,109500
16,3,0,Normal,1,254900
36,3,0,Normal,1,162500
17,3,1,Normal,1,412500
64,1,0,Normal,1,103200
94,3,0,Normal,1,152000
80,4,1,Normal,2,127500
65,2,1,Normal,1,190000
16,3,0,Normal,1,183500
39,2,0,Normal,1,228000
79,2,0,Normal,1,128500
60,3,1,Normal,1,215000
33,2,1,Normal,1,239000
59,3,1,Normal,1,163000
34,3,1,Normal,1,184000
70,4,1,Normal,1,243000
32,4,0,Normal,1,211000
62,4,1,Normal,1,172500
97,2,0,Normal,1,100000
20,3,0,Normal,1,177000
100,4,0,Normal,1,200100
63,3,0,Normal,1,120000
17,3,0,Normal,1,200000
112,3,0,Normal,1,127000
128,4,0,Normal,1,475000
30,3,1,Normal,1,173000
